SC2,SC3,SC4,B2b,H9New,H10,H11,H12,Z1,Z5,Z10,WEIGHT
7,2,4341,3,4,1,4.0,4.0,6,8,2,1.04
7,2,4300,5,5,1,4.0,4.0,6,8,2,1.04
7,2,4075,6,3,1,,,6,8,1,1.04
5,2,4701,2,4,2,2.0,2.0,6,7,1,1.12
5,2,4701,4,3,2,4.0,4.0,6,8,2,1.12
5,2,4350,2,3,1,3.0,3.0,6,7,1,1.12
5,2,4350,6,6,1,3.0,3.0,6,3,2,1.12
2,2,4740,3,4,1,3.0,2.0,1,3,1,1.24
6,2,4510,3,2,1,2.0,2.0,4,8,2,1.26
6,2,4215,3,4,1,4.0,3.0,6,8,2,1.26
6,2,4178,3,4,1,4.0,4.0,6,2,2,1.26
6,2,4114,3,2,1,,,6,8,2,1.26
6,2,4109,6,4,1,,,5,8,2,1.26
6,2,4037,1,3,1,1.0,2.0,6,8,2,1.26
6,2,4017,3,3,1,,,6,8,2,1.26
6,2,4017,5,4,1,4.0,4.0,6,8,2,1.26
5,2,4152,4,4,1,4.0,3.0,6,6,2,2.31
5,2,4123,4,4,1,4.0,3.0,4,6,1,2.31
5,2,4113,3,4,1,3.0,3.0,6,8,2,2.31
5,2,4036,3,3,1,3.0,3.0,6,8,2,2.31
5,2,4019,4,4,1,4.0,3.0,6,6,2,2.31
5,2,127,2,2,2,2.0,2.0,6,6,2,2.31
7,1,4879,4,4,1,4.0,4.0,6,8,2,0.54
7,1,4878,5,3,1,4.0,3.0,6,8,2,0.54
7,1,4870,4,3,1,4.0,4.0,6,3,2,0.54
7,1,4870,1,3,2,1.0,1.0,6,3,2,0.54
7,1,4869,4,4,1,4.0,4.0,4,8,2,0.54
7,1,4865,3,2,1,2.0,1.0,6,8,2,0.54
7,1,4865,3,3,1,3.0,3.0,6,8,2,0.54
7,1,4817,3,3,1,4.0,3.0,6,8,2,0.54
7,1,4815,5,5,1,5.0,5.0,6,8,2,0.54
7,1,4815,4,4,1,3.0,3.0,6,1,2,0.54
7,1,4815,4,4,1,4.0,3.0,6,8,2,0.54
7,1,4814,3,3,1,4.0,3.0,6,3,2,0.54
7,1,4814,2,4,1,4.0,4.0,6,8,2,0.54
7,1,4812,5,3,1,3.0,3.0,6,8,2,0.54
7,1,4812,3,2,1,3.0,3.0,6,3,2,0.54
7,1,4812,2,3,1,3.0,3.0,6,8,2,0.54
