SC2,SC3,SC4,B2b,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E1_12,E1_13,E1_14,E1_15,E1_16,E1_15_TEXT,E2,E3,E3_TEXT,E8,E8a,E7,H1,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H7_1,H7_2,H7_3,H7_4,H7_5,H7_5_TEXT,H8,H9New,H10,H11,H12,Z1,Z5,Z5_TEXT,Z10,WEIGHT
4,1,4670,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,1,,1,,4,2,1,0,0,0,0,1,0,0,1,0,0,0,,1,4,1,3,4,5,2,,2,1.00
4,1,4352,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,4,5,,2,1,4,2,0,0,0,1,1,0,0,0,0,0,0,0,,1,3,1,2,2,6,6,,2,1.00
4,1,4075,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,6,3,,1,,5,2,0,0,0,1,0,0,0,0,0,0,0,0,,1,5,1,5,4,6,3,,1,1.00
3,1,4160,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,3,,2,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,,2,4,2,4,3,6,1,,2,1.38
3,1,4122,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,14,4,,1,,4,2,0,0,0,0,1,0,0,0,0,0,0,0,,1,4,1,4,4,3,4,,2,1.38
3,1,4103,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,4,2,,1,,4,1,0,0,0,0,1,0,0,0,0,0,1,0,,1,3,2,4,4,3,1,,2,1.38
3,1,4059,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,5,2,,1,,4,1,0,0,0,0,1,0,0,0,1,1,0,0,,1,4,1,4,3,6,1,,2,1.38
3,1,4035,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,1,3,3,6,7,,1,1.38
3,1,4018,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,1,0,1,0,0,0,0,0,0,,1,6,1,,,4,3,,1,1.38
3,1,4007,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,,1,,5,99,0,0,0,0,0,0,1,0,0,0,0,0,,2,5,2,5,1,1,1,,2,1.38
3,1,4870,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,97,DIRECT DEBIT,1,,99,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,2,3,3,6,2,,2,1.56
3,1,4400,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,1,,,6,3,,2,1.56
3,1,4310,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,1,5,,2,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,,2,3,2,3,3,6,97,married 4 children,1,1.56
3,1,4076,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,5,3,,1,,3,2,0,0,1,1,0,0,0,0,0,0,0,0,,1,3,1,3,3,4,3,,1,1.56
3,1,28,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,2,,2,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,4,2,4,3,6,1,,2,1.56
5,1,4868,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,3,,1,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,2,3,1,3,3,3,2,,2,1.65
5,1,4810,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,5,,1,,4,1,1,1,0,1,0,1,0,0,0,1,0,0,,1,4,1,4,2,6,8,,2,1.65
5,1,4703,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,8,3,,1,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,99,3,1,3,3,2,8,,2,1.65
5,1,4702,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,99,0,0,0,0,0,0,1,0,0,0,0,0,,99,3,2,,,1,1,,1,1.65
5,1,4350,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,4,99,0,1,0,0,0,1,0,0,0,0,0,0,,1,3,1,3,3,6,6,,2,1.65
5,1,4519,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,3,2,1,0,0,0,0,0,0,0,1,0,0,0,,2,3,2,3,3,2,8,,2,2.14
5,1,4510,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,2,1,5,99,1,1,0,0,0,0,0,0,0,0,1,0,,1,3,1,3,3,5,2,,2,2.14
