SC2,SC3,SC4,Z1,Z5,Z10
4,2,4670,5,3,2
4,2,4655,5,6,2
4,2,4350,3,4,2
4,2,4075,6,3,2
6,2,4870,6,8,2
6,2,4870,6,2,2
6,2,4870,5,8,2
6,2,4870,6,8,2
6,2,4870,6,8,2
6,2,4868,6,3,2
6,2,4860,5,9,2
6,2,4817,6,8,2
6,2,4817,6,7,2
6,2,4814,6,8,2
6,2,4812,6,8,2
6,2,4812,6,8,2
6,2,4811,6,3,2
6,2,4740,6,2,2
6,2,4740,6,8,2
6,2,4740,5,8,2
6,2,4740,6,8,2
6,2,4740,6,3,2
6,2,4740,6,3,2
6,2,4701,6,8,2
6,2,4700,6,8,2
6,2,4680,6,8,2
6,2,4680,6,8,2
6,2,4680,6,8,2
6,2,4671,6,8,2
6,2,4670,6,9,2
6,2,4670,6,7,2
6,2,4655,2,8,2
6,2,4655,6,8,2
6,2,4655,6,2,2
6,2,4655,4,7,2
6,2,4650,6,3,2
6,2,4570,6,8,2
6,2,4370,6,8,2
6,2,4361,6,8,2
6,2,4350,6,8,2
6,2,4350,5,2,2
6,2,4310,6,9,2
4,2,4560,6,3,2
4,2,4558,6,3,1
4,2,4558,6,3,2
4,2,4305,6,6,2
4,2,4285,6,9,2
4,2,4285,6,6,2
4,2,4275,6,5,2
4,2,4227,6,3,2
4,2,4220,6,6,2
4,2,4213,6,3,2
4,2,4211,6,7,2
4,2,4211,6,6,2
4,2,4209,2,3,2
4,2,4178,4,3,2
4,2,4178,6,2,2
4,2,4178,6,3,2
4,2,4170,6,3,2
4,2,4157,6,6,2
4,2,4132,6,1,2
4,2,4124,6,5,2
4,2,4124,6,8,2
4,2,4034,6,6,1
4,2,4032,6,1,2
2,2,4305,6,2,2
2,2,4213,3,1,1
2,2,4207,6,2,2
2,2,4165,4,1,2
7,2,4573,6,8,2
7,2,4573,3,8,2
7,2,4564,6,8,2
7,2,4556,6,8,2
7,2,4556,6,8,2
7,2,4556,6,8,2
7,2,4551,6,8,2
7,2,4551,6,8,2
7,2,4551,6,8,2
7,2,4514,6,3,2
7,2,4510,6,8,2
7,2,4510,6,8,2
7,2,4509,3,8,2
7,2,4504,6,8,2
7,2,4503,6,8,2
7,2,4306,6,8,2
7,2,4227,6,8,2
7,2,4226,6,8,2
7,2,4226,6,8,2
7,2,4226,6,8,2
7,2,4224,6,8,2
7,2,4220,6,8,2
7,2,4217,5,8,1
7,2,4215,6,8,2
7,2,4212,6,8,2
7,2,4211,6,8,1
7,2,4211,6,8,2
7,2,4209,6,8,2
7,2,4209,6,8,2
7,2,4209,6,8,2
7,2,4207,6,8,2
7,2,4207,6,8,2
7,2,4205,6,9,2
7,2,4173,6,8,2
7,2,4164,6,8,2
7,2,4163,6,8,2
7,2,4160,6,8,2
7,2,4157,6,8,2
7,2,4152,6,8,2
7,2,4127,6,8,2
7,2,4122,6,8,2
7,2,4115,6,8,2
7,2,4114,6,9,2
7,2,4114,6,8,2
7,2,4109,6,8,2
7,2,4109,6,8,2
7,2,4105,6,9,2
7,2,4104,6,8,2
7,2,4053,6,8,2
7,2,4034,6,8,2
7,2,4034,6,8,2
7,2,4034,6,7,2
7,2,4032,6,9,2
7,2,4021,6,8,2
7,2,4020,6,8,2
7,2,4020,6,8,2
7,2,4019,6,8,2
7,2,4018,6,8,2
7,2,4017,6,9,1
7,2,4007,6,8,2
7,2,4879,6,3,2
7,2,4879,5,8,2
7,2,4878,6,3,2
7,2,4877,6,8,2
7,2,4870,6,8,1
7,2,4870,6,3,1
7,2,4870,6,3,1
7,2,4870,6,8,2
7,2,4870,6,8,2
